time,x1,x2
0.000000000000,1.000000000000,0.000000000000
0.015625000000,0.996096414067,0.000853380009
0.031250000000,0.984417588750,0.003400195067
0.046875000000,0.965059049446,0.007600628799
0.062500000000,0.938179100732,0.013388847316
0.078125000000,0.903997478087,0.020673783380
0.093750000000,0.862793476951,0.029340222416
0.109375000000,0.814903575575,0.039250178703
0.125000000000,0.760718572565,0.050244546940
0.140625000000,0.700680264302,0.062145011408
0.156250000000,0.635277691414,0.074756192152
0.171875000000,0.565042987285,0.087868005020
0.187500000000,0.490546865042,0.101258210051
0.203125000000,0.412393782579,0.114695120608
0.218750000000,0.331216828025,0.127940443867
0.234375000000,0.247672370404,0.140752221731
0.250000000000,0.162434522286,0.152887840109
0.265625000000,0.076189462788,0.164107073592
0.281250000000,-0.010370329549,0.174175132075
0.296875000000,-0.096551883789,0.182865675703
0.312500000000,-0.181667533054,0.189963764678
0.328125000000,-0.265040650108,0.195268711012
0.343750000000,-0.346011272427,0.198596800174
0.359375000000,-0.423941568196,0.199783851780
0.375000000000,-0.498221096190,0.198687590001
0.390625000000,-0.568271814425,0.195189796211
0.406250000000,-0.633552794798,0.189198218524
0.421875000000,-0.693564603661,0.180648215249
0.437500000000,-0.747853311312,0.169504111975
0.453125000000,-0.796014096790,0.155760254836
0.468750000000,-0.837694418032,0.139441745584
0.484375000000,-0.872596721385,0.120604847318
0.500000000000,-0.900480668633,0.099337053086
0.515625000000,-0.921164864029,0.075756813006
0.531250000000,-0.934528068315,0.050012919106
0.546875000000,-0.940509891307,0.022283550610
0.562500000000,-0.939110959264,-0.007225014075
0.578125000000,-0.930392557925,-0.038280008871
0.593750000000,-0.914475756773,-0.070624101878
0.609375000000,-0.891540024614,-0.103977611042
0.625000000000,-0.861821351087,-0.138040993995
0.640625000000,-0.825609893003,-0.172497589408
0.656250000000,-0.783247168580,-0.207016584450
0.671875000000,-0.735122826527,-0.241256180389
0.687500000000,-0.681671020629,-0.274866926113
0.703125000000,-0.623366423795,-0.307495187347
0.718750000000,-0.560719918648,-0.338786717695
0.734375000000,-0.494274004351,-0.368390296250
0.750000000000,-0.424597961782,-0.395961395558
0.765625000000,-0.352282821030,-0.421165843022
0.781250000000,-0.277936176771,-0.443683438601
0.796875000000,-0.202176898165,-0.463211491674
0.812500000000,-0.125629780622,-0.479468240467
0.828125000000,-0.048920187013,-0.492196118190
0.843750000000,0.027331274248,-0.501164831246
0.859375000000,0.102513987458,-0.506174216405
