frequency,amplitude
0.000000000000,0.000047504952
0.007812500000,0.000095959675
0.015625000000,0.000098755961
0.023437500000,0.000103253926
0.031250000000,0.000109251602
0.039062500000,0.000116528202
0.046875000000,0.000124873076
0.054687500000,0.000134101528
0.062500000000,0.000144060027
0.070312500000,0.000154625134
0.078125000000,0.000165699615
0.085937500000,0.000177207834
0.093750000000,0.000189091432
0.101562500000,0.000201305669
0.109375000000,0.000213816472
0.117187500000,0.000226598135
0.125000000000,0.000239631532
0.132812500000,0.000252902755
0.140625000000,0.000266402070
0.148437500000,0.000280123118
0.156250000000,0.000294062303
0.164062500000,0.000308218320
0.171875000000,0.000322591798
0.179687500000,0.000337185019
0.187500000000,0.000352001705
0.195312500000,0.000367046856
0.203125000000,0.000382326627
0.210937500000,0.000397848236
0.218750000000,0.000413619898
0.226562500000,0.000429650781
0.234375000000,0.000445950979
0.242187500000,0.000462531498
0.250000000000,0.000479404258
0.257812500000,0.000496582106
0.265625000000,0.000514078836
0.273437500000,0.000531909227
0.281250000000,0.000550089078
0.289062500000,0.000568635268
0.296875000000,0.000587565812
0.304687500000,0.000606899933
0.312500000000,0.000626658148
0.320312500000,0.000646862354
0.328125000000,0.000667535938
0.335937500000,0.000688703895
0.343750000000,0.000710392954
0.351562500000,0.000732631735
0.359375000000,0.000755450907
0.367187500000,0.000778883377
0.375000000000,0.000802964498
0.382812500000,0.000827732302
0.390625000000,0.000853227761
0.398437500000,0.000879495082
0.406250000000,0.000906582040
0.414062500000,0.000934540351
0.421875000000,0.000963426097
0.429687500000,0.000993300206
0.437500000000,0.001024229000
0.445312500000,0.001056284817
0.453125000000,0.001089546719
0.460937500000,0.001124101315
0.468750000000,0.001160043691
0.476562500000,0.001197478496
0.484375000000,0.001236521188
0.492187500000,0.001277299488
0.500000000000,0.001319955067
0.507812500000,0.001364645528
0.515625000000,0.001411546716
0.523437500000,0.001460855465
0.531250000000,0.001512792823
0.539062500000,0.001567607912
0.546875000000,0.001625582524
0.554687500000,0.001687036648
0.562500000000,0.001752335151
0.570312500000,0.001821895875
0.578125000000,0.001896199557
0.585937500000,0.001975802004
0.593750000000,0.002061349192
0.601562500000,0.002153596097
0.609375000000,0.002253430368
0.617187500000,0.002361902374
0.625000000000,0.002480263654
0.632812500000,0.002610016638
0.640625000000,0.002752979658
0.648437500000,0.002911372939
0.656250000000,0.003087933880
0.664062500000,0.003286073826
0.671875000000,0.003510094746
0.679687500000,0.003765494116
0.687500000000,0.004059402697
0.695312500000,0.004401227680
0.703125000000,0.004803622607
0.710937500000,0.005283994924
0.718750000000,0.005866933153
0.726562500000,0.006588280642
0.734375000000,0.007502322880
0.742187500000,0.008695266407
0.750000000000,0.010312526673
0.757812500000,0.012619718749
0.765625000000,0.016158484916
0.773437500000,0.022229348179
0.781250000000,0.034932894200
0.789062500000,0.077465717143
0.796875000000,0.485834309116
0.804687500000,0.061876164635
0.812500000000,0.034148805236
0.820312500000,0.024206759098
0.828125000000,0.019180817144
0.835937500000,0.016217371252
0.843750000000,0.014323956593
0.851562500000,0.013066615294
0.859375000000,0.012227508544
0.867187500000,0.011687491880
0.875000000000,0.011378458274
0.882812500000,0.011261742303
0.890625000000,0.011317749732
0.898437500000,0.011541123245
0.906250000000,0.011939165864
0.914062500000,0.012532785297
0.921875000000,0.013360214024
0.929687500000,0.014484876647
0.937500000000,0.016010793789
0.945312500000,0.018113576028
0.953125000000,0.021107600910
0.960937500000,0.025609129274
0.968750000000,0.033003596253
0.976562500000,0.047175114538
0.984375000000,0.084727991007
0.992187500000,0.461399840803
1.000000000000,0.130522105168
1.007812500000,0.056676874450
1.015625000000,0.036042529884
1.023437500000,0.026360823416
1.031250000000,0.020751781314
1.039062500000,0.017098707106
1.046875000000,0.014534325957
1.054687500000,0.012637567029
1.062500000000,0.011179375732
1.070312500000,0.010024506139
1.078125000000,0.009087987767
1.085937500000,0.008313771516
1.093750000000,0.007663404268
1.101562500000,0.007109636702
1.109375000000,0.006632627375
1.117187500000,0.006217591056
1.125000000000,0.005853288635
