frequency,amplitude
0.000000000000,0.028893594875
8.000000000000,0.059524659453
16.000000000000,0.065326711925
24.000000000000,0.077552697998
32.000000000000,0.103548865095
40.000000000000,0.175248568215
48.000000000000,0.862495135145
56.000000000000,0.895120514700
64.000000000000,0.125000063745
72.000000000000,0.073620052088
80.000000000000,0.052356666319
88.000000000000,0.040666796425
96.000000000000,0.033314598239
104.000000000000,0.028298355983
112.000000000000,0.024682044522
120.000000000000,0.021969213761
128.000000000000,0.019872443536
136.000000000000,0.018214171202
144.000000000000,0.016879060434
152.000000000000,0.015789145611
160.000000000000,0.014889990002
168.000000000000,0.014142562532
176.000000000000,0.013518260262
184.000000000000,0.012995746405
192.000000000000,0.012558879695
200.000000000000,0.012195323322
208.000000000000,0.011895590373
216.000000000000,0.011652377726
224.000000000000,0.011460095717
232.000000000000,0.011314534321
240.000000000000,0.011212627323
248.000000000000,0.011152289295
256.000000000000,0.005566154516
