x,ell,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.1,0,1,1,1,0,0,0,0
0.1,1,0.10000000000000001,0.10000000000000001,2.5843637280650813,4.4488848768742172978818416595458984375E-18,4.4488848768742168529933539721242131381646027875786861835397212421313816460278757868618353972124213138164602788E-17,2.484363728065081290400152031215839087963104248046875,24.843637280650810419637792247077348915851817772733858414818222726614158518177727338584148182227266141585181777
0.1,2,-0.48499999999999999699999999999999985,-0.48499999999999999,-0.11234544079023769,1.032267629550187833508358001708984375E-17,2.1283868650519336905021001997212077644625368184611894200054441516798617100966087097278311981576265590984538329E-17,0.37265455920976231140899795188670380873486995697021484375,0.76835991589641714167851072077516566809152475001707855629109766252801212907629997968210274411041096546005689438
0.1,3,-0.14750000000000001424999999999999992499999999999999750000000000000000000000000000000000000000000000000000000000,-0.14750000000000002,-1.7416333921750942,5.73401444325281780262537002563476812500000000000000000000000000000000000000000000000000000000E-18,3.8874674191544523719737374888985139215884557273228083665312911130132530875051080342818641629719477593107360594E-17,1.5941333921750941495395948588266038154537200927734400000000000000000000000000000000000000000000000000000000000,10.807684014746399969695577279256983443173186232823394448545281305358044645165471205837663594940442556967888290
0.1,4,0.33793749999999999267499999999999965125000000000000175000000000000004375000000000000000000000000000000000000000,0.3379375,-0.22052676303796323,9.10135683940025081342781066894531074999999999999995625000000000000000000000000000000000000000E-18,2.6932071283596082147453990223892352499087371316131060031128061194667689919385228367485674127423091288810897939E-17,0.55846426303796322310438354319630854347025871276855643750000000000004375000000000000000000000000000000000000000,1.6525667114125044873961448619727153393146970425881513161277794801103798293750931610227819276585618862243606378
0.1,5,0.17882875000000001616437499999999974537499999999999203750000000000003937500000000000078750000000000000000000000,0.17882875000000004,1.3536118963932418,2.012659522894711724799267196655274233749999999999996062499999999999921250000000000000000000000E-17,1.1254675341043940322092921192862636771441648540485833113469529750711180706872771971170530560918822574470742890E-16,1.1747831463932417374356480029458182616173400878906329624999999999999606249999999999992125000000000000000000000,6.5693192307905839035765136295773204697546771805104724524630304212006774556532037099762975398167459180569245298
0.1,6,-0.24882931249999998765383749999999945970937500000000758625000000000017521874999999999913374999999999998556250000,-0.24882931249999998,0.43193448353706376,4.85430077591262470918461570739746852375000000000017521874999999999913374999999999998556250000E-18,1.9508556797996317053845607823795614161572983252449146916500855052490667398491446865304214158786605712186000848E-17,0.68076379603706375017986899623610025259420166015625758625000000000017521874999999999913374999999999998556250000,2.7358665632975366756974107100988167486388506454792014934957934562541329436132502578847719859174279758492159598
0.1,7,-0.19949294375000001618343562499999945212443749999998454990625000000020717812500000000376818749999999998123125000,-0.19949294375000004,-1.0800223642516096,2.402049344977798926483551580810548420009374999999979282187499999999623181250000000001876875000E-17,1.2040773472108327298280539908759089423691073097325766796198878307483650571146316251042017212313557262978012085E-16,0.88052942050160956281661069892665426086346228027345295009374999999979282187499999999623181250000000001876875000,4.4138374217639940529754046731444103014135870989410607829416731441492203234755258740434354742379709818148906746
0.1,8,0.18032072148437498242222093749999932653295312500001980752812500000040415976562499999465090624999999992023281250,0.18032072148437497,-0.58044686639210763,8.48030995739803349307762895202638699502812500000040415976562499999465090624999999992023281250E-18,4.7029037415053061604757732978844513152431263692421063451819821832627019649420032791395660969548513689225684042E-17,0.76076758787648261232837060588620535737859521484376980752812500000040415976562499999465090624999999992023281250,4.2189692987802518402297000920086427688774649889418697269579800111409923338165759711912924854673953289348098534
0.1,9,0.21138764183593751447108702734374905376434218749997728696109375000063464182031250000997324453124999986721109376,0.2113876418359375,0.85037991568292148,1.357068727258855009822845351562497728696109375000063464182031250000997324453124999986721109376E-17,6.4198110895815999206125853473315651809587572026473689852005797792525191390092580507689126164035050413229328895E-17,0.63899227384698396889529844600212296099662888183596021303890624999936535817968749999002675546875000013278890624,3.0228459350661548434946962434935216843049497489354750947948215641273252789140889247710350049516879850909779638
0.1,10,-0.12212499738710935241412711367187429871377927734379012073020312500067470958242187498123270457812499976394777734,-0.12212499738710936,0.68397436373265197,5.06874345045476812217416780517574112926979687499932529041757812501876729542187500023605222266E-18,4.1504553194690906831626617788447300977924121859639575429406956772237888231762376151002316669290809303435651477E-17,0.80609936111976132115328949840799313690481168701175887073020312500067470958242187498123270457812499976394777734,6.6006090347302430818485787652610954119101158893896498375789075365208398181687185407049865708533455472458379734
